Acce X,Acce Y,Acce Z,Gyro X,Gyro Y,Gyro Z,Quat x,Quat y,Quat z,Quat w,Mag X,MagY,Mag Z
0.0785,-0.1527,-0.1051,0.019,-0.1006,-0.0421,-0.4661,0.6555,0.3921,0.4464,22.2153,7.1686,49.6063
0.2008,-0.2062,-0.1346,0.0158,-0.1123,-0.0368,-0.4661,0.6554,0.3921,0.4466,22.2153,7.1686,49.6063
0.2859,-0.2995,-0.1523,0.0105,-0.1251,-0.0272,-0.4662,0.6552,0.3921,0.4468,20.8176,7.1686,48.9273
0.3845,-0.3064,-0.1538,0.0009,-0.1421,-0.0144,-0.4663,0.655,0.3921,0.447,20.8176,7.1686,48.9273
0.4664,-0.3176,-0.206,-0.0087,-0.1666,-0.0005,-0.4663,0.6548,0.3921,0.4472,20.8176,7.1686,48.9273
0.4978,-0.2726,-0.2299,-0.0204,-0.1911,0.0112,-0.4663,0.6546,0.3922,0.4475,20.8176,7.1686,48.9273
0.5903,-0.2452,-0.2256,-0.0268,-0.2124,0.0165,-0.4663,0.6544,0.3924,0.4477,22.2153,7.1686,49.6063
0.6982,-0.1519,-0.2658,-0.03,-0.2412,0.0208,-0.4662,0.6542,0.3926,0.4479,22.2153,7.1686,49.6063
0.8067,-0.0841,-0.2795,-0.0321,-0.2689,0.0208,-0.4661,0.654,0.3928,0.4481,22.2153,7.1686,49.6063
1.0318,-0.0779,-0.3069,-0.0332,-0.3009,0.0186,-0.4659,0.6538,0.393,0.4484,22.2153,7.1686,49.6063
1.1744,-0.1401,-0.3592,-0.0353,-0.336,0.0133,-0.4656,0.6536,0.3933,0.4487,21.5164,6.4697,49.6063
1.3179,-0.0848,-0.4382,-0.0385,-0.3818,0.0112,-0.4655,0.6533,0.3937,0.449,21.5164,6.4697,49.6063
1.4303,-0.1072,-0.429,-0.047,-0.4319,0.0112,-0.4652,0.6531,0.394,0.4493,21.5164,6.4697,49.6063
1.514,-0.0381,-0.459,-0.0545,-0.4851,0.0091,-0.4649,0.6527,0.3944,0.4498,21.5164,6.4697,49.6063
1.4734,-0.0253,-0.4887,-0.0588,-0.5448,0.008,-0.4645,0.6524,0.3948,0.4503,22.2153,9.2636,50.2869
1.4404,0.0308,-0.4502,-0.0598,-0.6023,0.0059,-0.4639,0.6521,0.3952,0.451,22.2153,9.2636,50.2869
1.3708,0.0739,-0.4886,-0.0566,-0.6588,0.008,-0.4633,0.6516,0.3959,0.4517,22.2153,9.2636,50.2869
1.3227,0.0893,-0.4874,-0.0492,-0.7121,0.0059,-0.4627,0.6511,0.3965,0.4525,22.2153,9.2636,50.2869
1.2298,0.0927,-0.5152,-0.0449,-0.7611,0.0069,-0.462,0.6505,0.3973,0.4534,23.6115,7.8674,48.2468
1.1645,0.0983,-0.5506,-0.0406,-0.8079,0.0048,-0.4612,0.6499,0.398,0.4545,23.6115,7.8674,48.2468
1.0603,0.0953,-0.5544,-0.0375,-0.8516,0.0037,-0.4604,0.6492,0.3988,0.4555,23.6115,7.8674,48.2468
0.9569,0.1206,-0.5512,-0.0353,-0.8953,-0.0016,-0.4596,0.6484,0.3997,0.4567,23.6115,7.8674,48.2468
0.8196,0.1702,-0.5488,-0.03,-0.9336,-0.0027,-0.4587,0.6476,0.4006,0.4579,25.0092,7.8674,48.2468
0.7274,0.1617,-0.4879,-0.0257,-0.9656,-0.0059,-0.4577,0.6468,0.4015,0.4593,25.0092,7.8674,48.2468
0.6574,0.2012,-0.4863,-0.0193,-0.9954,-0.0059,-0.4567,0.6459,0.4025,0.4607,25.0092,7.8674,48.2468
0.6596,0.1832,-0.4876,-0.0076,-1.0178,-0.0069,-0.4557,0.6449,0.4036,0.4621,25.0092,7.8674,48.2468
0.6936,0.1802,-0.4708,0.003,-1.0391,-0.008,-0.4546,0.6439,0.4046,0.4637,26.4053,6.4697,47.5677
0.617,0.1739,-0.4585,0.0169,-1.0924,-0.0048,-0.4535,0.6429,0.4057,0.4652,26.4053,6.4697,47.5677
0.56,0.1665,-0.4377,0.0243,-1.1179,-0.0037,-0.4524,0.6418,0.4068,0.4668,26.4053,6.4697,47.5677
0.5121,0.1559,-0.4395,0.0318,-1.1392,-0.0016,-0.4512,0.6407,0.4079,0.4686,26.4053,6.4697,47.5677
0.4873,0.1589,-0.4114,0.0392,-1.1584,-0.0027,-0.4499,0.6396,0.409,0.4703,27.1042,6.4697,46.8872
0.5042,0.1058,-0.3808,0.0467,-1.1776,-0.0048,-0.4487,0.6384,0.4102,0.4721,27.1042,6.4697,46.8872
0.5342,0.0754,-0.3786,0.051,-1.1978,-0.0027,-0.4474,0.6372,0.4113,0.474,27.1042,6.4697,46.8872
0.5311,0.0158,-0.372,0.051,-1.1978,-0.0027,-0.4461,0.636,0.4125,0.4758,27.1042,6.4697,46.8872
0.4886,-0.0228,-0.3419,0.0531,-1.2532,0.0005,-0.4448,0.6347,0.4137,0.4778,27.1042,6.4697,46.8872
0.4015,-0.0232,-0.3531,0.0531,-1.2532,0.0005,-0.4435,0.6333,0.4149,0.4797,27.1042,6.4697,46.8872
0.2958,-0.028,-0.3062,0.0531,-1.3054,0.0154,-0.4421,0.6319,0.4162,0.4817,27.1042,6.4697,46.8872
0.1921,0.0154,-0.2709,0.0542,-1.3225,0.0186,-0.4406,0.6305,0.4175,0.4838,27.1042,6.4697,46.8872
0.1518,-0.0105,-0.2474,0.0563,-1.3363,0.0208,-0.4392,0.629,0.4188,0.4859,29.1992,6.4697,45.5276
0.1079,0.0361,-0.1934,0.0563,-1.3363,0.0208,-0.4377,0.6275,0.4202,0.4879,29.1992,6.4697,45.5276
0.0895,0.0072,-0.1875,0.0616,-1.3576,0.024,-0.4362,0.626,0.4216,0.4901,29.1992,6.4697,45.5276
0.0765,0.0107,-0.1441,0.0595,-1.3629,0.0218,-0.4346,0.6244,0.423,0.4922,29.1992,6.4697,45.5276
0.0758,-0.0127,-0.1234,0.0616,-1.3736,0.0197,-0.4331,0.6229,0.4244,0.4944,28.5004,7.8674,44.1696
0.052,-0.047,-0.1314,0.0563,-1.3832,0.0165,-0.4315,0.6213,0.4257,0.4966,28.5004,7.8674,44.1696
-0.0106,-0.0744,-0.0772,0.0499,-1.3864,0.0154,-0.4299,0.6197,0.4271,0.4987,28.5004,7.8674,44.1696
-0.1039,-0.0689,-0.0498,0.0488,-1.3853,0.0122,-0.4284,0.618,0.4286,0.5009,28.5004,7.8674,44.1696
-0.173,-0.0548,-0.0393,0.0456,-1.3842,0.0069,-0.4268,0.6163,0.43,0.5031,30.5954,6.4697,43.4891
-0.2201,-0.0044,0.0189,0.0435,-1.3789,0.0027,-0.4253,0.6145,0.4314,0.5053,30.5954,6.4697,43.4891
-0.265,-0.0276,0.0014,0.0403,-1.3725,-0.0016,-0.4238,0.6128,0.4329,0.5075,30.5954,6.4697,43.4891
-0.3193,-0.0423,-0.0158,0.0361,-1.3683,-0.0069,-0.4222,0.6111,0.4343,0.5096,30.5954,6.4697,43.4891
-0.4147,-0.0591,0.0049,0.0318,-1.3608,-0.0069,-0.4207,0.6093,0.4356,0.5118,31.2943,7.8674,43.4891
-0.5345,-0.0236,0.0347,0.0307,-1.3512,-0.0059,-0.4192,0.6076,0.437,0.5139,31.2943,7.8674,43.4891
-0.6299,-0.021,0.0777,0.0286,-1.3384,-0.0048,-0.4177,0.6058,0.4384,0.516,31.2943,7.8674,43.4891
-0.6617,0.0046,0.1497,0.0265,-1.3225,-0.0016,-0.4162,0.6041,0.4398,0.5181,31.2943,7.8674,43.4891
-0.6066,0.0211,0.1838,0.0286,-1.3065,0.0037,-0.4147,0.6023,0.4412,0.5202,34.0881,5.7724,40.77
-0.5042,0.0128,0.1584,0.0307,-1.2916,0.0048,-0.4133,0.6005,0.4426,0.5222,34.0881,5.7724,40.77
-0.4371,-0.0094,0.1838,0.0275,-1.2841,0.0037,-0.4118,0.5988,0.4439,0.5242,34.0881,5.7724,40.77
-0.369,0.0381,0.2756,0.0286,-1.2777,0.0037,-0.4103,0.5971,0.4452,0.5262,34.0881,5.7724,40.77
-0.3559,0.056,0.3087,0.0318,-1.2724,0.0027,-0.4088,0.5954,0.4466,0.5282,34.787,7.8674,42.1295
-0.3651,0.0525,0.3508,0.0339,-1.2628,-0.0016,-0.4073,0.5937,0.4479,0.5302,34.787,7.8674,42.1295
-0.363,0.0402,0.3363,0.0392,-1.2543,-0.0037,-0.4058,0.5919,0.4492,0.5321,34.787,7.8674,42.1295
-0.3158,0.0671,0.3526,0.0424,-1.2447,-0.0069,-0.4043,0.5902,0.4505,0.5341,34.787,7.8674,42.1295
-0.2859,0.1037,0.3308,0.0446,-1.2319,-0.0144,-0.4028,0.5885,0.4517,0.536,36.1832,5.7724,40.0909
-0.28,0.0469,0.3326,0.0467,-1.2212,-0.025,-0.4014,0.5868,0.453,0.5379,36.1832,5.7724,40.0909
-0.3204,0.0447,0.324,0.0478,-1.2127,-0.0336,-0.3999,0.5851,0.4542,0.5398,36.1832,5.7724,40.0909
-0.3388,0.0529,0.3055,0.0456,-1.2042,-0.0389,-0.3985,0.5834,0.4554,0.5417,36.1832,5.7724,40.0909
-0.3632,0.0515,0.3164,0.0446,-1.1957,-0.0453,-0.3971,0.5817,0.4565,0.5436,35.4858,8.5663,39.4104
-0.3936,0.0391,0.3101,0.0435,-1.1872,-0.0506,-0.3956,0.5801,0.4575,0.5456,35.4858,8.5663,39.4104
-0.3912,0.0421,0.2871,0.0435,-1.1765,-0.0559,-0.3942,0.5784,0.4586,0.5474,35.4858,8.5663,39.4104
-0.3827,0.0614,0.2747,0.0424,-1.168,-0.0591,-0.3929,0.5767,0.4597,0.5493,35.4858,8.5663,39.4104
-0.3387,0.1076,0.2744,0.0424,-1.1605,-0.0644,-0.3915,0.575,0.4608,0.5511,36.882,5.7724,39.4104
-0.3138,0.119,0.2813,0.0446,-1.1541,-0.0719,-0.3903,0.5732,0.462,0.5528,36.882,5.7724,39.4104
-0.2578,0.1442,0.3122,0.0456,-1.1488,-0.0804,-0.389,0.5716,0.463,0.5546,36.882,5.7724,39.4104
-0.2518,0.1181,0.3384,0.0467,-1.1456,-0.0868,-0.3876,0.5699,0.464,0.5565,36.882,5.7724,39.4104
-0.2345,0.1755,0.3328,0.0488,-1.1424,-0.0943,-0.3863,0.5682,0.465,0.5583,37.5809,7.1686,38.0524
-0.2069,0.1692,0.3506,0.0552,-1.1392,-0.1007,-0.385,0.5665,0.466,0.5601,37.5809,7.1686,38.0524
-0.1866,0.1492,0.3232,0.0584,-1.136,-0.1071,-0.3837,0.5648,0.4669,0.5619,37.5809,7.1686,38.0524
-0.1729,0.1743,0.349,0.0616,-1.1371,-0.1092,-0.3823,0.5632,0.4678,0.5637,37.5809,7.1686,38.0524
