Timestamp,Acce X,Acce Y,Acce Z,Gyro X,Gyro Y,Gyro Z,Quat x,Quat y,Quat z,Quat w,Mag X,MagY,Mag Z
170144319,0.3431,0.0825,-0.221,0.1404,-1.445,-0.04,-0.4214,0.6033,0.4388,0.5157,31.9931,5.7724,42.1295
170144324,0.1937,0.0675,-0.1586,0.1468,-1.4556,-0.0314,-0.4197,0.6016,0.44,0.518,31.9931,5.7724,42.1295
170144329,0.0834,0.0557,-0.1406,0.149,-1.4599,-0.025,-0.4179,0.5998,0.4413,0.5204,31.9931,5.7724,42.1295
170144334,0.0394,0.0592,-0.1565,0.1522,-1.4631,-0.0197,-0.4162,0.5981,0.4425,0.5228,33.3893,6.4697,43.4891
170144339,0.0453,0.1005,-0.1199,0.1511,-1.4684,-0.0197,-0.4144,0.5963,0.4438,0.5251,33.3893,6.4697,43.4891
170144344,0.0716,0.0754,-0.1446,0.15,-1.4759,-0.0197,-0.4126,0.5945,0.4451,0.5275,33.3893,6.4697,43.4891
170144349,0.0901,0.1143,-0.0961,0.149,-1.4833,-0.024,-0.4107,0.5928,0.4463,0.5298,33.3893,6.4697,43.4891
170144354,0.0988,0.1203,-0.1051,0.149,-1.4897,-0.0336,-0.4089,0.591,0.4476,0.5322,32.692,7.8674,42.1295
170144359,0.0736,0.1215,-0.1021,0.149,-1.494,-0.0389,-0.407,0.5891,0.4489,0.5346,32.692,7.8674,42.1295
170144364,0.0606,0.1329,-0.0264,0.15,-1.4982,-0.0474,-0.4052,0.5873,0.4501,0.537,32.692,7.8674,42.1295
170144369,0.0822,0.1045,-0.0362,0.15,-1.5046,-0.0517,-0.4033,0.5854,0.4513,0.5394,32.692,7.8674,42.1295
170144374,0.1109,0.0803,0.0162,0.15,-1.511,-0.0581,-0.4014,0.5835,0.4526,0.5418,35.4858,6.4697,40.0909
170144379,0.1232,0.0632,0.0443,0.1468,-1.5163,-0.0602,-0.3996,0.5815,0.4539,0.5442,35.4858,6.4697,40.0909
170144384,0.1683,-0.0014,0.0752,0.1394,-1.5217,-0.0602,-0.3978,0.5796,0.4551,0.5466,35.4858,6.4697,40.0909
